"icd_class","year","age","sex","race","cause","death_count","population_count"
"icd_08","1968","1","female","black","intentional_self_harm",0,258270
"icd_08","1968","1","female","other","intentional_self_harm",0,25334
"icd_08","1968","1","female","white","intentional_self_harm",0,1.42163e+006
"icd_08","1968","1","male","black","intentional_self_harm",0,265110
"icd_08","1968","1","male","other","intentional_self_harm",0,26510
"icd_08","1968","1","male","white","intentional_self_harm",0,1.50471e+006
"icd_08","1968","1-4","female","black","intentional_self_harm",0,1.042e+006
"icd_08","1968","1-4","female","other","intentional_self_harm",0,99000
"icd_08","1968","1-4","female","white","intentional_self_harm",0,5.999e+006
"icd_08","1968","1-4","male","black","intentional_self_harm",0,1.048e+006
"icd_08","1968","1-4","male","other","intentional_self_harm",0,101000
"icd_08","1968","1-4","male","white","intentional_self_harm",0,6.258e+006
"icd_08","1968","10-14","female","black","intentional_self_harm",2,1.351e+006
"icd_08","1968","10-14","female","other","intentional_self_harm",2,121000
"icd_08","1968","10-14","female","white","intentional_self_harm",17,8.518e+006
"icd_08","1968","10-14","male","black","intentional_self_harm",5,1.355e+006
"icd_08","1968","10-14","male","other","intentional_self_harm",0,122000
"icd_08","1968","10-14","male","white","intentional_self_harm",90,8.89e+006
"icd_08","1968","15-19","female","black","intentional_self_harm",21,1.136e+006
"icd_08","1968","15-19","female","other","intentional_self_harm",6,110000
"icd_08","1968","15-19","female","white","intentional_self_harm",173,7.767e+006
"icd_08","1968","15-19","male","black","intentional_self_harm",42,1.114e+006
"icd_08","1968","15-19","male","other","intentional_self_harm",16,110000
"icd_08","1968","15-19","male","white","intentional_self_harm",658,7.953e+006
"icd_08","1968","20-24","female","black","intentional_self_harm",37,878000
"icd_08","1968","20-24","female","other","intentional_self_harm",5,102000
"icd_08","1968","20-24","female","white","intentional_self_harm",326,6.867e+006
"icd_08","1968","20-24","male","black","intentional_self_harm",92,748000
"icd_08","1968","20-24","male","other","intentional_self_harm",23,95000
"icd_08","1968","20-24","male","white","intentional_self_harm",958,6.365e+006
"icd_08","1968","25-34","female","black","intentional_self_harm",55,1.392e+006
"icd_08","1968","25-34","female","other","intentional_self_harm",14,179000
"icd_08","1968","25-34","female","white","intentional_self_harm",795,1.0543e+007
"icd_08","1968","25-34","male","black","intentional_self_harm",179,1.165e+006
"icd_08","1968","25-34","male","other","intentional_self_harm",31,161000
"icd_08","1968","25-34","male","white","intentional_self_harm",1781,1.0262e+007
"icd_08","1968","35-44","female","black","intentional_self_harm",48,1.309e+006
"icd_08","1968","35-44","female","other","intentional_self_harm",16,163000
"icd_08","1968","35-44","female","white","intentional_self_harm",1221,1.0651e+007
"icd_08","1968","35-44","male","black","intentional_self_harm",129,1.097e+006
"icd_08","1968","35-44","male","other","intentional_self_harm",23,140000
"icd_08","1968","35-44","male","white","intentional_self_harm",2372,1.0228e+007
"icd_08","1968","45-54","female","black","intentional_self_harm",35,1.1e+006
"icd_08","1968","45-54","female","other","intentional_self_harm",9,100000
"icd_08","1968","45-54","female","white","intentional_self_harm",1426,1.0533e+007
"icd_08","1968","45-54","male","black","intentional_self_harm",116,957000
"icd_08","1968","45-54","male","other","intentional_self_harm",15,105000
"icd_08","1968","45-54","male","white","intentional_self_harm",2876,9.933e+006
"icd_08","1968","5-9","female","black","intentional_self_harm",0,1.39e+006
"icd_08","1968","5-9","female","other","intentional_self_harm",0,136000
"icd_08","1968","5-9","female","white","intentional_self_harm",0,8.498e+006
"icd_08","1968","5-9","male","black","intentional_self_harm",0,1.389e+006
"icd_08","1968","5-9","male","other","intentional_self_harm",0,138000
"icd_08","1968","5-9","male","white","intentional_self_harm",2,8.863e+006
"icd_08","1968","55-64","female","black","intentional_self_harm",20,828000
"icd_08","1968","55-64","female","other","intentional_self_harm",4,62000
"icd_08","1968","55-64","female","white","intentional_self_harm",987,8.61e+006
"icd_08","1968","55-64","male","black","intentional_self_harm",82,716000
"icd_08","1968","55-64","male","other","intentional_self_harm",14,84000
"icd_08","1968","55-64","male","white","intentional_self_harm",2790,7.787e+006
"icd_08","1968","65-74","female","black","intentional_self_harm",11,563000
"icd_08","1968","65-74","female","other","intentional_self_harm",4,41000
"icd_08","1968","65-74","female","white","intentional_self_harm",493,6.208e+006
"icd_08","1968","65-74","male","black","intentional_self_harm",53,453000
"icd_08","1968","65-74","male","other","intentional_self_harm",9,48000
"icd_08","1968","65-74","male","white","intentional_self_harm",1741,4.865e+006
"icd_08","1968","75-84","female","black","intentional_self_harm",3,222000
"icd_08","1968","75-84","female","other","intentional_self_harm",7,18000
"icd_08","1968","75-84","female","white","intentional_self_harm",218,3.29e+006
"icd_08","1968","75-84","male","black","intentional_self_harm",20,165000
"icd_08","1968","75-84","male","other","intentional_self_harm",4,21000
"icd_08","1968","75-84","male","white","intentional_self_harm",1015,2.23e+006
"icd_08","1968","85+","female","black","intentional_self_harm",0,56000
"icd_08","1968","85+","female","other","intentional_self_harm",2,5000
"icd_08","1968","85+","female","white","intentional_self_harm",34,739000
"icd_08","1968","85+","male","black","intentional_self_harm",1,35000
"icd_08","1968","85+","male","other","intentional_self_harm",2,6000
"icd_08","1968","85+","male","white","intentional_self_harm",235,399000
"icd_08","1969","1","female","black","intentional_self_harm",0,264186
"icd_08","1969","1","female","other","intentional_self_harm",0,27064
"icd_08","1969","1","female","white","intentional_self_harm",0,1.46238e+006
"icd_08","1969","1","male","black","intentional_self_harm",0,270036
"icd_08","1969","1","male","other","intentional_self_harm",0,28820
"icd_08","1969","1","male","white","intentional_self_harm",0,1.54772e+006
"icd_08","1969","1-4","female","black","intentional_self_harm",0,1.008e+006
"icd_08","1969","1-4","female","other","intentional_self_harm",0,102000
"icd_08","1969","1-4","female","white","intentional_self_harm",0,5.742e+006
"icd_08","1969","1-4","male","black","intentional_self_harm",0,1.014e+006
"icd_08","1969","1-4","male","other","intentional_self_harm",0,103000
"icd_08","1969","1-4","male","white","intentional_self_harm",0,5.994e+006
"icd_08","1969","10-14","female","black","intentional_self_harm",6,1.385e+006
"icd_08","1969","10-14","female","other","intentional_self_harm",0,128000
"icd_08","1969","10-14","female","white","intentional_self_harm",34,8.615e+006
"icd_08","1969","10-14","male","black","intentional_self_harm",3,1.389e+006
"icd_08","1969","10-14","male","other","intentional_self_harm",2,128000
"icd_08","1969","10-14","male","white","intentional_self_harm",86,8.996e+006
"icd_08","1969","15-19","female","black","intentional_self_harm",35,1.182e+006
"icd_08","1969","15-19","female","other","intentional_self_harm",6,116000
"icd_08","1969","15-19","female","white","intentional_self_harm",208,7.936e+006
"icd_08","1969","15-19","male","black","intentional_self_harm",51,1.158e+006
"icd_08","1969","15-19","male","other","intentional_self_harm",22,116000
"icd_08","1969","15-19","male","white","intentional_self_harm",723,8.113e+006
"icd_08","1969","20-24","female","black","intentional_self_harm",52,931000
"icd_08","1969","20-24","female","other","intentional_self_harm",2,112000
"icd_08","1969","20-24","female","white","intentional_self_harm",356,7.144e+006
"icd_08","1969","20-24","male","black","intentional_self_harm",128,798000
"icd_08","1969","20-24","male","other","intentional_self_harm",16,105000
"icd_08","1969","20-24","male","white","intentional_self_harm",1132,6.677e+006
"icd_08","1969","25-34","female","black","intentional_self_harm",69,1.425e+006
"icd_08","1969","25-34","female","other","intentional_self_harm",25,192000
"icd_08","1969","25-34","female","white","intentional_self_harm",876,1.0847e+007
"icd_08","1969","25-34","male","black","intentional_self_harm",199,1.197e+006
"icd_08","1969","25-34","male","other","intentional_self_harm",43,176000
"icd_08","1969","25-34","male","white","intentional_self_harm",1943,1.0569e+007
"icd_08","1969","35-44","female","black","intentional_self_harm",55,1.308e+006
"icd_08","1969","35-44","female","other","intentional_self_harm",14,168000
"icd_08","1969","35-44","female","white","intentional_self_harm",1328,1.0471e+007
"icd_08","1969","35-44","male","black","intentional_self_harm",172,1.086e+006
"icd_08","1969","35-44","male","other","intentional_self_harm",18,144000
"icd_08","1969","35-44","male","white","intentional_self_harm",2260,1.0065e+007
"icd_08","1969","45-54","female","black","intentional_self_harm",39,1.118e+006
"icd_08","1969","45-54","female","other","intentional_self_harm",7,109000
"icd_08","1969","45-54","female","white","intentional_self_harm",1424,1.0679e+007
"icd_08","1969","45-54","male","black","intentional_self_harm",107,968000
"icd_08","1969","45-54","male","other","intentional_self_harm",23,112000
"icd_08","1969","45-54","male","white","intentional_self_harm",2890,1.0032e+007
"icd_08","1969","5-9","female","black","intentional_self_harm",1,1.387e+006
"icd_08","1969","5-9","female","other","intentional_self_harm",0,138000
"icd_08","1969","5-9","female","white","intentional_self_harm",0,8.407e+006
"icd_08","1969","5-9","male","black","intentional_self_harm",1,1.389e+006
"icd_08","1969","5-9","male","other","intentional_self_harm",0,140000
"icd_08","1969","5-9","male","white","intentional_self_harm",3,8.781e+006
"icd_08","1969","55-64","female","black","intentional_self_harm",14,851000
"icd_08","1969","55-64","female","other","intentional_self_harm",6,66000
"icd_08","1969","55-64","female","white","intentional_self_harm",1031,8.761e+006
"icd_08","1969","55-64","male","black","intentional_self_harm",69,729000
"icd_08","1969","55-64","male","other","intentional_self_harm",14,84000
"icd_08","1969","55-64","male","white","intentional_self_harm",2741,7.898e+006
"icd_08","1969","65-74","female","black","intentional_self_harm",10,572000
"icd_08","1969","65-74","female","other","intentional_self_harm",4,44000
"icd_08","1969","65-74","female","white","intentional_self_harm",602,6.289e+006
"icd_08","1969","65-74","male","black","intentional_self_harm",51,455000
"icd_08","1969","65-74","male","other","intentional_self_harm",11,51000
"icd_08","1969","65-74","male","white","intentional_self_harm",1800,4.89e+006
"icd_08","1969","75-84","female","black","intentional_self_harm",4,227000
"icd_08","1969","75-84","female","other","intentional_self_harm",3,19000
"icd_08","1969","75-84","female","white","intentional_self_harm",257,3.385e+006
"icd_08","1969","75-84","male","black","intentional_self_harm",21,167000
"icd_08","1969","75-84","male","other","intentional_self_harm",12,21000
"icd_08","1969","75-84","male","white","intentional_self_harm",1081,2.252e+006
"icd_08","1969","85+","female","black","intentional_self_harm",1,60000
"icd_08","1969","85+","female","other","intentional_self_harm",2,5000
"icd_08","1969","85+","female","white","intentional_self_harm",32,783000
"icd_08","1969","85+","male","black","intentional_self_harm",2,37000
"icd_08","1969","85+","male","other","intentional_self_harm",6,7000
"icd_08","1969","85+","male","white","intentional_self_harm",224,415000
"icd_08","1970","1","female","black","intentional_self_harm",0,276702
"icd_08","1970","1","female","other","intentional_self_harm",0,29030
"icd_08","1970","1","female","white","intentional_self_harm",0,1.51028e+006
"icd_08","1970","1","male","black","intentional_self_harm",0,285290
"icd_08","1970","1","male","other","intentional_self_harm",0,30408
"icd_08","1970","1","male","white","intentional_self_harm",0,1.59968e+006
"icd_08","1970","1-4","female","black","intentional_self_harm",0,970376
"icd_08","1970","1-4","female","other","intentional_self_harm",0,116132
"icd_08","1970","1-4","female","white","intentional_self_harm",0,5.61497e+006
"icd_08","1970","1-4","male","black","intentional_self_harm",0,975063
"icd_08","1970","1-4","male","other","intentional_self_harm",0,119438
"icd_08","1970","1-4","male","white","intentional_self_harm",0,5.87308e+006
"icd_08","1970","10-14","female","black","intentional_self_harm",6,1.40315e+006
"icd_08","1970","10-14","female","other","intentional_self_harm",0,148185
"icd_08","1970","10-14","female","white","intentional_self_harm",24,8.64739e+006
"icd_08","1970","10-14","male","black","intentional_self_harm",4,1.40672e+006
"icd_08","1970","10-14","male","other","intentional_self_harm",1,150297
"icd_08","1970","10-14","male","white","intentional_self_harm",95,9.03373e+006
"icd_08","1970","15-19","female","black","intentional_self_harm",36,1.22144e+006
"icd_08","1970","15-19","female","other","intentional_self_harm",4,135971
"icd_08","1970","15-19","female","white","intentional_self_harm",232,8.07909e+006
"icd_08","1970","15-19","male","black","intentional_self_harm",57,1.20161e+006
"icd_08","1970","15-19","male","other","intentional_self_harm",16,140972
"icd_08","1970","15-19","male","white","intentional_self_harm",778,8.29127e+006
"icd_08","1970","20-24","female","black","intentional_self_harm",48,974372
"icd_08","1970","20-24","female","other","intentional_self_harm",13,138373
"icd_08","1970","20-24","female","white","intentional_self_harm",417,7.34101e+006
"icd_08","1970","20-24","male","black","intentional_self_harm",157,839848
"icd_08","1970","20-24","male","other","intentional_self_harm",32,136601
"icd_08","1970","20-24","male","white","intentional_self_harm",1338,6.94082e+006
"icd_08","1970","25-34","female","black","intentional_self_harm",83,1.45556e+006
"icd_08","1970","25-34","female","other","intentional_self_harm",15,230020
"icd_08","1970","25-34","female","white","intentional_self_harm",993,1.10045e+007
"icd_08","1970","25-34","male","black","intentional_self_harm",235,1.22563e+006
"icd_08","1970","25-34","male","other","intentional_self_harm",50,216866
"icd_08","1970","25-34","male","white","intentional_self_harm",2140,1.07749e+007
"icd_08","1970","35-44","female","black","intentional_self_harm",49,1.30932e+006
"icd_08","1970","35-44","female","other","intentional_self_harm",16,198424
"icd_08","1970","35-44","female","white","intentional_self_harm",1350,1.03488e+007
"icd_08","1970","35-44","male","black","intentional_self_harm",137,1.08428e+006
"icd_08","1970","35-44","male","other","intentional_self_harm",21,168088
"icd_08","1970","35-44","male","white","intentional_self_harm",2324,9.97887e+006
"icd_08","1970","45-54","female","black","intentional_self_harm",42,1.13363e+006
"icd_08","1970","45-54","female","other","intentional_self_harm",15,130757
"icd_08","1970","45-54","female","white","intentional_self_harm",1452,1.07563e+007
"icd_08","1970","45-54","male","black","intentional_self_harm",135,978621
"icd_08","1970","45-54","male","other","intentional_self_harm",21,130455
"icd_08","1970","45-54","male","white","intentional_self_harm",2973,1.00902e+007
"icd_08","1970","5-9","female","black","intentional_self_harm",0,1.37007e+006
"icd_08","1970","5-9","female","other","intentional_self_harm",0,153345
"icd_08","1970","5-9","female","white","intentional_self_harm",0,8.26433e+006
"icd_08","1970","5-9","male","black","intentional_self_harm",0,1.37736e+006
"icd_08","1970","5-9","male","other","intentional_self_harm",0,158048
"icd_08","1970","5-9","male","white","intentional_self_harm",2,8.63309e+006
"icd_08","1970","55-64","female","black","intentional_self_harm",17,868176
"icd_08","1970","55-64","female","other","intentional_self_harm",4,75795
"icd_08","1970","55-64","female","white","intentional_self_harm",1092,8.85305e+006
"icd_08","1970","55-64","male","black","intentional_self_harm",78,739129
"icd_08","1970","55-64","male","other","intentional_self_harm",10,95500
"icd_08","1970","55-64","male","white","intentional_self_harm",2783,7.95816e+006
"icd_08","1970","65-74","female","black","intentional_self_harm",17,581881
"icd_08","1970","65-74","female","other","intentional_self_harm",5,50880
"icd_08","1970","65-74","female","white","intentional_self_harm",608,6.36561e+006
"icd_08","1970","65-74","male","black","intentional_self_harm",40,460939
"icd_08","1970","65-74","male","other","intentional_self_harm",13,60619
"icd_08","1970","65-74","male","white","intentional_self_harm",1902,4.91553e+006
"icd_08","1970","75-84","female","black","intentional_self_harm",4,229917
"icd_08","1970","75-84","female","other","intentional_self_harm",4,23782
"icd_08","1970","75-84","female","white","intentional_self_harm",248,3.4292e+006
"icd_08","1970","75-84","male","black","intentional_self_harm",15,168633
"icd_08","1970","75-84","male","other","intentional_self_harm",8,24420
"icd_08","1970","75-84","male","white","intentional_self_harm",1020,2.24319e+006
"icd_08","1970","85+","female","black","intentional_self_harm",2,71386
"icd_08","1970","85+","female","other","intentional_self_harm",3,7281
"icd_08","1970","85+","female","white","intentional_self_harm",52,889855
"icd_08","1970","85+","male","black","intentional_self_harm",4,45998
"icd_08","1970","85+","male","other","intentional_self_harm",3,9424
"icd_08","1970","85+","male","white","intentional_self_harm",223,486957
"icd_08","1971","1","female","black","intentional_self_harm",0,272898
"icd_08","1971","1","female","other","intentional_self_harm",0,30574
"icd_08","1971","1","female","white","intentional_self_harm",0,1.42959e+006
"icd_08","1971","1","male","black","intentional_self_harm",0,280852
"icd_08","1971","1","male","other","intentional_self_harm",0,32078
"icd_08","1971","1","male","white","intentional_self_harm",0,1.50998e+006
"icd_08","1971","1-4","female","black","intentional_self_harm",0,969000
"icd_08","1971","1-4","female","other","intentional_self_harm",0,107000
"icd_08","1971","1-4","female","white","intentional_self_harm",0,5.613e+006
"icd_08","1971","1-4","male","black","intentional_self_harm",0,972000
"icd_08","1971","1-4","male","other","intentional_self_harm",0,109000
"icd_08","1971","1-4","male","white","intentional_self_harm",0,5.873e+006
"icd_08","1971","10-14","female","black","intentional_self_harm",3,1.432e+006
"icd_08","1971","10-14","female","other","intentional_self_harm",3,141000
"icd_08","1971","10-14","female","white","intentional_self_harm",30,8.773e+006
"icd_08","1971","10-14","male","black","intentional_self_harm",12,1.437e+006
"icd_08","1971","10-14","male","other","intentional_self_harm",2,143000
"icd_08","1971","10-14","male","white","intentional_self_harm",88,9.169e+006
"icd_08","1971","15-19","female","black","intentional_self_harm",44,1.276e+006
"icd_08","1971","15-19","female","other","intentional_self_harm",6,134000
"icd_08","1971","15-19","female","white","intentional_self_harm",250,8.33e+006
"icd_08","1971","15-19","male","black","intentional_self_harm",63,1.259e+006
"icd_08","1971","15-19","male","other","intentional_self_harm",31,136000
"icd_08","1971","15-19","male","white","intentional_self_harm",885,8.58e+006
"icd_08","1971","20-24","female","black","intentional_self_harm",69,1.06e+006
"icd_08","1971","20-24","female","other","intentional_self_harm",16,140000
"icd_08","1971","20-24","female","white","intentional_self_harm",485,7.827e+006
"icd_08","1971","20-24","male","black","intentional_self_harm",151,937000
"icd_08","1971","20-24","male","other","intentional_self_harm",38,132000
"icd_08","1971","20-24","male","white","intentional_self_harm",1441,7.607e+006
"icd_08","1971","25-34","female","black","intentional_self_harm",90,1.504e+006
"icd_08","1971","25-34","female","other","intentional_self_harm",25,224000
"icd_08","1971","25-34","female","white","intentional_self_harm",1002,1.1369e+007
"icd_08","1971","25-34","male","black","intentional_self_harm",211,1.272e+006
"icd_08","1971","25-34","male","other","intentional_self_harm",46,205000
"icd_08","1971","25-34","male","white","intentional_self_harm",2161,1.1196e+007
"icd_08","1971","35-44","female","black","intentional_self_harm",67,1.308e+006
"icd_08","1971","35-44","female","other","intentional_self_harm",22,187000
"icd_08","1971","35-44","female","white","intentional_self_harm",1335,1.0232e+007
"icd_08","1971","35-44","male","black","intentional_self_harm",159,1.086e+006
"icd_08","1971","35-44","male","other","intentional_self_harm",26,158000
"icd_08","1971","35-44","male","white","intentional_self_harm",2295,9.907e+006
"icd_08","1971","45-54","female","black","intentional_self_harm",42,1.166e+006
"icd_08","1971","45-54","female","other","intentional_self_harm",11,128000
"icd_08","1971","45-54","female","white","intentional_self_harm",1579,1.0885e+007
"icd_08","1971","45-54","male","black","intentional_self_harm",100,999000
"icd_08","1971","45-54","male","other","intentional_self_harm",16,124000
"icd_08","1971","45-54","male","white","intentional_self_harm",2916,1.0202e+007
"icd_08","1971","5-9","female","black","intentional_self_harm",0,1.354e+006
"icd_08","1971","5-9","female","other","intentional_self_harm",0,142000
"icd_08","1971","5-9","female","white","intentional_self_harm",0,8.014e+006
"icd_08","1971","5-9","male","black","intentional_self_harm",0,1.363e+006
"icd_08","1971","5-9","male","other","intentional_self_harm",0,145000
"icd_08","1971","5-9","male","white","intentional_self_harm",3,8.378e+006
"icd_08","1971","55-64","female","black","intentional_self_harm",25,888000
"icd_08","1971","55-64","female","other","intentional_self_harm",4,74000
"icd_08","1971","55-64","female","white","intentional_self_harm",1133,9.051e+006
"icd_08","1971","55-64","male","black","intentional_self_harm",81,748000
"icd_08","1971","55-64","male","other","intentional_self_harm",18,88000
"icd_08","1971","55-64","male","white","intentional_self_harm",2803,8.113e+006
"icd_08","1971","65-74","female","black","intentional_self_harm",14,593000
"icd_08","1971","65-74","female","other","intentional_self_harm",1,48000
"icd_08","1971","65-74","female","white","intentional_self_harm",666,6.505e+006
"icd_08","1971","65-74","male","black","intentional_self_harm",67,467000
"icd_08","1971","65-74","male","other","intentional_self_harm",12,58000
"icd_08","1971","65-74","male","white","intentional_self_harm",1893,5.012e+006
"icd_08","1971","75-84","female","black","intentional_self_harm",4,259000
"icd_08","1971","75-84","female","other","intentional_self_harm",8,21000
"icd_08","1971","75-84","female","white","intentional_self_harm",259,3.599e+006
"icd_08","1971","75-84","male","black","intentional_self_harm",13,186000
"icd_08","1971","75-84","male","other","intentional_self_harm",3,22000
"icd_08","1971","75-84","male","white","intentional_self_harm",1074,2.304e+006
"icd_08","1971","85+","female","black","intentional_self_harm",1,67000
"icd_08","1971","85+","female","other","intentional_self_harm",1,6000
"icd_08","1971","85+","female","white","intentional_self_harm",33,904000
"icd_08","1971","85+","male","black","intentional_self_harm",3,40000
"icd_08","1971","85+","male","other","intentional_self_harm",5,7000
"icd_08","1971","85+","male","white","intentional_self_harm",241,463000
"icd_08","1972","1","female","black","intentional_self_harm",0,256575
"icd_08","1972","1","female","other","intentional_self_harm",0,30998
"icd_08","1972","1","female","white","intentional_self_harm",0,1.30091e+006
"icd_08","1972","1","male","black","intentional_self_harm",0,263249
"icd_08","1972","1","male","other","intentional_self_harm",0,32054
"icd_08","1972","1","male","white","intentional_self_harm",0,1.37462e+006
"icd_08","1972","1-4","female","black","intentional_self_harm",0,985000
"icd_08","1972","1-4","female","other","intentional_self_harm",0,115000
"icd_08","1972","1-4","female","white","intentional_self_harm",0,5.657e+006
"icd_08","1972","1-4","male","black","intentional_self_harm",0,991000
"icd_08","1972","1-4","male","other","intentional_self_harm",0,116000
"icd_08","1972","1-4","male","white","intentional_self_harm",0,5.932e+006
"icd_08","1972","10-14","female","black","intentional_self_harm",4,1.442e+006
"icd_08","1972","10-14","female","other","intentional_self_harm",2,147000
"icd_08","1972","10-14","female","white","intentional_self_harm",34,8.758e+006
"icd_08","1972","10-14","male","black","intentional_self_harm",0,1.449e+006
"icd_08","1972","10-14","male","other","intentional_self_harm",0,149000
"icd_08","1972","10-14","male","white","intentional_self_harm",80,9.154e+006
"icd_08","1972","15-19","female","black","intentional_self_harm",40,1.328e+006
"icd_08","1972","15-19","female","other","intentional_self_harm",10,144000
"icd_08","1972","15-19","female","white","intentional_self_harm",228,8.516e+006
"icd_08","1972","15-19","male","black","intentional_self_harm",106,1.312e+006
"icd_08","1972","15-19","male","other","intentional_self_harm",32,147000
"icd_08","1972","15-19","male","white","intentional_self_harm",968,8.777e+006
"icd_08","1972","20-24","female","black","intentional_self_harm",74,1.099e+006
"icd_08","1972","20-24","female","other","intentional_self_harm",28,150000
"icd_08","1972","20-24","female","white","intentional_self_harm",510,7.772e+006
"icd_08","1972","20-24","male","black","intentional_self_harm",232,988000
"icd_08","1972","20-24","male","other","intentional_self_harm",58,140000
"icd_08","1972","20-24","male","white","intentional_self_harm",1572,7.717e+006
"icd_08","1972","25-34","female","black","intentional_self_harm",86,1.575e+006
"icd_08","1972","25-34","female","other","intentional_self_harm",16,249000
"icd_08","1972","25-34","female","white","intentional_self_harm",1110,1.2096e+007
"icd_08","1972","25-34","male","black","intentional_self_harm",272,1.34e+006
"icd_08","1972","25-34","male","other","intentional_self_harm",50,226000
"icd_08","1972","25-34","male","white","intentional_self_harm",2482,1.1977e+007
"icd_08","1972","35-44","female","black","intentional_self_harm",62,1.314e+006
"icd_08","1972","35-44","female","other","intentional_self_harm",16,197000
"icd_08","1972","35-44","female","white","intentional_self_harm",1278,1.0148e+007
"icd_08","1972","35-44","male","black","intentional_self_harm",164,1.094e+006
"icd_08","1972","35-44","male","other","intentional_self_harm",34,168000
"icd_08","1972","35-44","male","white","intentional_self_harm",2262,9.858e+006
"icd_08","1972","45-54","female","black","intentional_self_harm",48,1.185e+006
"icd_08","1972","45-54","female","other","intentional_self_harm",2,139000
"icd_08","1972","45-54","female","white","intentional_self_harm",1468,1.0947e+007
"icd_08","1972","45-54","male","black","intentional_self_harm",130,1.011e+006
"icd_08","1972","45-54","male","other","intentional_self_harm",22,130000
"icd_08","1972","45-54","male","white","intentional_self_harm",3046,1.0262e+007
